[trainer] shift pos_weight=0.7928
[epoch 000] loss=1.6800 val_weighted_f1=0.5278 val_macro_f1=0.3214 val_shift_f1=0.4915 time=9.5s per_class_f1={'neutral': 0.748, 'joy': 0.585, 'sadness': 0.0, 'anger': 0.407, 'surprise': 0.51, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=1.2783 val_weighted_f1=0.5852 val_macro_f1=0.3874 val_shift_f1=0.5958 time=9.2s per_class_f1={'neutral': 0.769, 'joy': 0.562, 'sadness': 0.315, 'anger': 0.437, 'surprise': 0.628, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=1.2145 val_weighted_f1=0.5896 val_macro_f1=0.3960 val_shift_f1=0.6044 time=9.2s per_class_f1={'neutral': 0.761, 'joy': 0.565, 'sadness': 0.361, 'anger': 0.457, 'surprise': 0.627, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=1.1924 val_weighted_f1=0.5974 val_macro_f1=0.4061 val_shift_f1=0.6057 time=9.3s per_class_f1={'neutral': 0.761, 'joy': 0.568, 'sadness': 0.416, 'anger': 0.465, 'surprise': 0.632, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=1.1791 val_weighted_f1=0.5926 val_macro_f1=0.4071 val_shift_f1=0.6288 time=9.4s per_class_f1={'neutral': 0.766, 'joy': 0.562, 'sadness': 0.337, 'anger': 0.47, 'surprise': 0.631, 'fear': 0.0, 'disgust': 0.083}
[epoch 005] loss=1.1644 val_weighted_f1=0.6006 val_macro_f1=0.4194 val_shift_f1=0.6674 time=9.0s per_class_f1={'neutral': 0.763, 'joy': 0.568, 'sadness': 0.42, 'anger': 0.476, 'surprise': 0.627, 'fear': 0.0, 'disgust': 0.083}
[epoch 006] loss=1.1465 val_weighted_f1=0.5970 val_macro_f1=0.4137 val_shift_f1=0.5802 time=9.2s per_class_f1={'neutral': 0.764, 'joy': 0.573, 'sadness': 0.402, 'anger': 0.468, 'surprise': 0.612, 'fear': 0.0, 'disgust': 0.077}
[epoch 007] loss=1.1311 val_weighted_f1=0.5964 val_macro_f1=0.4232 val_shift_f1=0.6517 time=9.2s per_class_f1={'neutral': 0.76, 'joy': 0.568, 'sadness': 0.406, 'anger': 0.464, 'surprise': 0.616, 'fear': 0.0, 'disgust': 0.148}
[epoch 008] loss=1.1240 val_weighted_f1=0.5979 val_macro_f1=0.4368 val_shift_f1=0.5852 time=9.1s per_class_f1={'neutral': 0.764, 'joy': 0.56, 'sadness': 0.374, 'anger': 0.469, 'surprise': 0.624, 'fear': 0.0, 'disgust': 0.267}
[epoch 009] loss=1.1099 val_weighted_f1=0.5974 val_macro_f1=0.4482 val_shift_f1=0.6927 time=9.2s per_class_f1={'neutral': 0.764, 'joy': 0.562, 'sadness': 0.382, 'anger': 0.465, 'surprise': 0.599, 'fear': 0.043, 'disgust': 0.323}
[epoch 010] loss=1.0925 val_weighted_f1=0.5976 val_macro_f1=0.4420 val_shift_f1=0.6390 time=9.1s per_class_f1={'neutral': 0.761, 'joy': 0.565, 'sadness': 0.368, 'anger': 0.473, 'surprise': 0.616, 'fear': 0.044, 'disgust': 0.267}
